model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,num_eval_windows,window_offsets,position_mode,ppl,window_ppls,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,9.113522584216529,"[8.588409, 9.639606, 8.161992, 9.983243, 9.319477]",0.138266359269619,0.138266359269619,17.55590239383003,56.96313779887805,14015.47900390625,1536,256,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.806292563325501,"[8.191014, 9.367749, 7.797569, 9.644513, 9.178107]",0.1878711126744747,0.1878711126744747,17.580937409004356,56.8856524995007,14015.47900390625,1536,512,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.57276626383684,"[8.125036, 9.350907, 7.559226, 8.999321, 8.958573]",0.12187085449695587,0.12187085449695587,17.75543778522374,56.32267162171782,14015.47900390625,1536,768,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.443287262968411,"[8.00612, 8.95974, 7.405004, 9.045065, 8.931066]",0.2518100507557392,0.2518100507557392,18.57034287282399,53.85101787452555,14019.44775390625,1536,1024,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,10.22668086440758,"[9.8132, 11.341152, 9.634193, 10.956974, 9.521376]",0.5187111720442772,0.5187111720442772,16.648623999025958,60.55353635504055,13625.4658203125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,11.715241209318636,"[11.512238, 11.576563, 10.826233, 13.612842, 11.235453]",0.238136225938797,0.238136225938797,15.673635159336659,63.81983895543467,13755.4267578125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,11.086064435558294,"[11.030908, 11.151643, 10.369667, 11.819889, 11.106026]",0.145103295147419,0.145103295147419,17.456072848836968,57.613620426837336,13885.2080078125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,10.716038545866613,"[10.52158, 10.995692, 9.605612, 11.742065, 10.829249]",0.12423360198736191,0.12423360198736191,18.794223782834244,53.79923967333859,14015.5517578125,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,505.2797689428133,"[533.84959, 356.234532, 456.377514, 657.571257, 577.082041]",0.23958876654505729,0.23958876654505729,21.017104374160972,47.61336338572175,13375.4072265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,295.4788651220892,"[327.539085, 264.192857, 289.198175, 315.135351, 285.59805]",0.1671175926923752,0.1671175926923752,20.695575247947016,48.32028583947577,13503.4072265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,176.6388645979063,"[191.37881, 160.072505, 148.502743, 192.437, 196.425414]",0.26379186362028123,0.26379186362028123,21.595398887787777,46.30718886100504,13631.83349609375,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,83.46773418483134,"[101.277985, 58.21728, 71.124886, 97.156394, 99.433606]",0.19466668590903283,0.19466668590903283,22.856806004292345,43.751134194665894,13763.92724609375,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.511223483468328,"[8.137138, 8.973541, 7.603046, 9.143491, 8.798828]",0.303749980032444,0.303749980032444,16.00103259319895,62.56075938504981,13625.4736328125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.344596431647405,"[8.03521, 8.70053, 7.453357, 8.989016, 8.638128]",0.24066644832491874,0.24066644832491874,17.358970165311007,57.81579444746537,13755.4189453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.24945790613569,"[8.004554, 8.552138, 7.394473, 8.883578, 8.496109]",0.3060383766889572,0.3060383766889572,17.401166683073846,58.7504395477783,13885.2236328125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.215196387599834,"[7.956798, 8.532897, 7.308844, 8.91791, 8.455575]",0.7347323216497899,0.7347323216497899,17.1094196781137,58.70939673597778,14015.5595703125,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.473686786046112,"[8.116706, 8.941717, 7.548249, 9.11563, 8.748395]",0.43430928885936737,0.43430928885936737,16.52934266775555,60.81431055353314,13645.1611328125,469,980,469,256.0,43,469,"[469, 455, 441, 428, 414, 400, 386, 373, 359, 345, 332, 318, 304, 290, 277, 263, 249, 235, 222, 208, 194, 180, 167, 153, 139, 126, 112, 98, 84, 71, 57, 43]",980,767.0,554,980,"[980, 966, 952, 939, 925, 911, 897, 884, 870, 856, 843, 829, 815, 801, 788, 774, 760, 746, 733, 719, 705, 691, 678, 664, 650, 637, 623, 609, 595, 582, 568, 554]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.287083464498114,"[8.029016, 8.614313, 7.439011, 8.867301, 8.566807]",0.2433573417365551,0.2433573417365551,19.088161363468714,52.698040692998894,13778.1455078125,968,1479,968,512.0,56,968,"[968, 939, 909, 880, 850, 821, 791, 762, 733, 703, 674, 644, 615, 586, 556, 527, 497, 468, 438, 409, 380, 350, 321, 291, 262, 233, 203, 174, 144, 115, 85, 56]",1479,1023.0,567,1479,"[1479, 1450, 1420, 1391, 1361, 1332, 1302, 1273, 1244, 1214, 1185, 1155, 1126, 1097, 1067, 1038, 1008, 979, 949, 920, 891, 861, 832, 802, 773, 744, 714, 685, 655, 626, 596, 567]"
